ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
17511,0,1177,-5.800000190734863,11,49.900001525878906,9.779999732971191,-126.45833333333334,61.208333333333364
17512,0,1478,4.300000190734863,16.600000381469727,161.47000122070312,7.78000020980835,-115.125,45.541666666666686
17513,0,1161,7.300000190734863,15.100000381469727,42.58000183105469,9.260000228881836,-117.625,44.375
17514,0,708,2.5999999046325684,12.899999618530273,6.480000019073486,11.829999923706055,-109.70833333333334,51.45833333333336
17515,0,136,16.899999618530273,13.600000381469727,12.760000228881836,11.600000381469727,-81.2916666666667,33.875
17516,0,50,6.199999809265137,9.699999809265137,12.079999923706055,11.329999923706055,-63.2916666666667,44.95833333333336
17517,0,419,12.399999618530273,13.5,33.59000015258789,10.600000381469727,-83.70833333333336,36.95833333333335
17518,0,2017,8.100000381469727,16.200000762939453,41.15999984741211,9.770000457763672,-114.04166666666669,37.875
17519,0,339,8.800000190734863,12.199999809265137,3.1500000953674316,13.15999984741211,-93.79166666666669,42.041666666666686
17520,0,1164,1.100000023841858,15.199999809265137,26.709999084472656,9.920000076293945,-123.625,52.20833333333336
17521,0,1666,6.199999809265137,17.5,7.510000228881836,12.100000381469727,-115.375,42.125
17522,0,1503,6.800000190734863,14.699999809265137,20.639999389648438,11.449999809265137,-112.29166666666669,43.125
17523,0,11,25.899999618530273,9.699999809265137,2.619999885559082,13.239999771118164,-93.70833333333336,18.29166666666667
17524,0,421,-0.8999999761581421,10.899999618530273,3.119999885559082,12.949999809265137,-108.375,56.375
17525,0,1928,5.400000095367432,16.399999618530273,46.66999816894531,9.529999732971191,-114.54166666666669,41.791666666666686
17526,0,2569,-0.800000011920929,14.5,98.56999969482422,8.479999542236328,-111.70833333333334,44.875
17527,0,75,25.200000762939453,7.800000190734863,6.119999885559082,12.59000015258789,-84.20833333333336,14.125
17528,0,3,20.100000381469727,10.199999809265137,1.190000057220459,13.350000381469727,-89.625,29.958333333333343
17529,0,752,3.700000047683716,13.699999809265137,7.889999866485596,12,-104.625,49.29166666666669
17530,0,1894,8,17.100000381469727,33.5,10.319999694824219,-115.79166666666669,38.95833333333335
17531,0,132,8.5,10.100000381469727,6.929999828338623,12.3100004196167,-76.5416666666667,43.125
17532,0,2249,12,16.899999618530273,84.089996337890625,8.670000076293945,-108.375,30.458333333333343
17533,0,1376,17,16.600000381469727,86.86000061035156,9.289999961853027,-104.875,30.04166666666668
17534,0,31,27.100000381469727,10.699999809265137,9.630000114440918,12.369999885559082,-92.20833333333336,17.625
17535,0,1184,-5.900000095367432,10.899999618530273,51.59000015258789,9.050000190734863,-126.20833333333334,61.2916666666667
17536,0,331,7.699999809265137,11.800000190734863,7.989999771118164,12.069999694824219,-91.45833333333336,43.041666666666686
17537,0,277,1,11.399999618530273,5.119999885559082,12.569999694824219,-79.2916666666667,48.79166666666669
17538,0,113,18.899999618530273,13.100000381469727,4.75,12.899999618530273,-96.29166666666669,31.875
17539,0,38,17.899999618530273,13.199999809265137,1.6399999856948853,13.40999984741211,-80.625,33.291666666666686
17540,0,863,12.800000190734863,15.899999618530273,1.559999942779541,14.25,-100.625,37.45833333333335
17541,0,560,-1.399999976158142,11.699999809265137,7.349999904632568,12.170000076293945,-110.79166666666669,57.04166666666669
